Apex Park. Price $, Activity ***, Good Weather
Beardy's Bar and Kitchen. Price $$, Activity *, All Weather
Breathe Health Clubs 24/7, Price $, Activity ***, All Weather
Discovery Cafe & Teahouse. Price $, Activity *, All Weather 
Friendship Park. Price $, Activity ***, Decent Weather 
Mermaids By The Bay. Price $$, Activity *, Decent Weather 
Pelican Park. Price $, Activity **, Good weather 
Seafood Town. Price $$, Activity *, Decent Weather 
Scarborough. Beach Park price $, Activity **, Good weather
Snap Fitness. Price $, Activity ***, All Weather
Westfield Shopping Centre Price. $$, Activity ***, All Weather
